col_o_i,col_s_1,col_m_p_i,col_s_s_dt,col_s_cn_dt
1E+11,7000000092,PROP,8/1/2022,12/24/2022
1E+11,7000000093,PROP,7/31/2022,9/10/2022
1E+11,7000000094,PROP,7/30/2022,12/24/2022
1E+11,7000000095,PROP,7/29/2022,12/13/2023
1E+11,7000000096,PROP,7/28/2022,9/10/2022
1E+11,7000000097,PROP,7/27/2022,9/9/2022
1E+11,7000000098,PROP,7/26/2022,12/13/2023
1E+11,7000000099,PROP,7/25/2022,12/13/2023
1E+11,7000000000,SELLER,11/1/2022,5/19/2022
1E+11,7000000001,SELLER,10/31/2022,6/3/2022
1E+11,7000000002,SELLER,10/30/2022,5/23/2023
1E+11,7000000003,SELLER,10/29/2022,8/12/2021
1E+11,7000000004,SELLER,10/28/2022,2/1/2023
1E+11,7000000005,SELLER,10/27/2022,2/13/2022
1E+11,7000000006,SELLER,10/26/2022,11/3/2021
1E+11,7000000007,SELLER,10/25/2022,2/21/2022
1E+11,7000000008,SELLER,10/24/2022,11/8/2021
1E+11,7000000009,SELLER,10/23/2022,6/3/2021
1E+11,7000000010,SELLER,10/22/2022,5/23/2023
1E+11,7000000011,PROP,10/21/2022,4/13/2021
1E+11,7000000012,SELLER,10/20/2022,4/13/2021
1E+11,7000000013,SELLER,10/19/2022,4/13/2021
1E+11,7000000014,SELLER,10/18/2022,11/8/2021
1E+11,7000000015,SELLER,10/17/2022,7/23/2021
1E+11,7000000016,SELLER,10/16/2022,12/14/2023
1E+11,7000000017,SELLER,10/15/2022,6/4/2021
1E+11,7000000018,SELLER,10/14/2022,11/2/2021
1E+11,7000000019,SELLER,10/13/2022,2/10/2024
1E+11,7000000020,PROP,10/12/2022,6/2/2023
1E+11,7000000021,SELLER,10/11/2022,4/13/2023
1E+11,7000000022,SELLER,10/10/2022,8/10/2021
1E+11,7000000023,SELLER,10/9/2022,3/8/2022
1E+11,7000000024,SELLER,10/8/2022,4/26/2021
1E+11,7000000025,SELLER,10/7/2022,4/27/2021
1E+11,7000000026,PROP,10/6/2022,9/9/2022
1E+11,7000000027,PROP,10/5/2022,9/5/2022
1E+11,7000000028,PROP,10/4/2022,9/10/2022
1E+11,7000000029,PROP,10/3/2022,12/24/2022
1E+11,7000000030,PROP,10/2/2022,12/16/2023
1E+11,7000000031,PROP,10/1/2022,12/24/2022
1E+11,7000000032,PROP,9/30/2022,9/9/2022
1E+11,7000000033,PROP,9/29/2022,9/10/2022
1E+11,7000000034,PROP,9/28/2022,9/9/2022
1E+11,7000000035,PROP,9/27/2022,9/9/2022
1E+11,7000000036,PROP,9/26/2022,9/9/2022
1E+11,7000000037,PROP,9/25/2022,9/10/2022
1E+11,7000000038,PROP,9/24/2022,12/24/2022
1E+11,7000000039,PROP,9/23/2022,12/13/2023
1E+11,7000000040,PROP,9/22/2022,9/9/2022
1E+11,7000000041,PROP,9/21/2022,12/3/2022
1E+11,7000000042,PROP,9/20/2022,9/9/2022
1E+11,7000000043,SELLER,9/19/2022,3/3/2023
1E+11,7000000044,PROP,9/18/2022,12/3/2022
1E+11,7000000045,PROP,9/17/2022,9/7/2022
1E+11,7000000046,PROP,9/16/2022,12/24/2022
1E+11,7000000047,PROP,9/15/2022,12/3/2022
1E+11,7000000048,PROP,9/14/2022,12/24/2022
1E+11,7000000049,PROP,9/13/2022,3/30/2021
1E+11,7000000050,PROP,9/12/2022,9/9/2022
1E+11,7000000051,PROP,9/11/2022,9/9/2022
1E+11,7000000052,PROP,9/10/2022,9/8/2022
1E+11,7000000053,PROP,9/9/2022,9/10/2022
1E+11,7000000054,PROP,9/8/2022,9/10/2022
1E+11,7000000055,PROP,9/7/2022,12/3/2022
1E+11,7000000056,PROP,9/6/2022,12/3/2022
1E+11,7000000057,PROP,9/5/2022,9/9/2022
1E+11,7000000058,PROP,9/4/2022,9/9/2022
1E+11,7000000059,PROP,9/3/2022,9/9/2022
1E+11,7000000060,PROP,9/2/2022,9/10/2022
1E+11,7000000061,PROP,9/1/2022,12/3/2022
1E+11,7000000062,PROP,8/31/2022,12/3/2022
1E+11,7000000063,PROP,8/30/2022,9/9/2022
1E+11,7000000064,PROP,8/29/2022,9/10/2022
1E+11,7000000065,PROP,8/28/2022,9/10/2022
1E+11,7000000066,PROP,8/27/2022,9/9/2022
1E+11,7000000067,PROP,8/26/2022,12/3/2022
1E+11,7000000068,PROP,8/25/2022,12/24/2022
1E+11,7000000069,PROP,8/24/2022,9/10/2022
1E+11,7000000070,PROP,8/23/2022,12/24/2022
1E+11,7000000071,PROP,8/22/2022,9/9/2022
1E+11,7000000072,PROP,8/21/2022,9/9/2022
1E+11,7000000073,PROP,8/20/2022,9/7/2022
1E+11,7000000074,SELLER,8/19/2022,3/20/2023
1E+11,7000000075,SELLER,8/18/2022,7/7/2023
1E+11,7000000076,SELLER,8/17/2022,12/2/2022
1E+11,7000000077,PROP,8/16/2022,12/24/2022
1E+11,7000000078,PROP,8/15/2022,12/24/2022
1E+11,7000000079,PROP,8/14/2022,12/24/2022
1E+11,7000000080,PROP,8/13/2022,12/24/2022
1E+11,7000000081,PROP,8/12/2022,9/10/2022
1E+11,7000000082,PROP,8/11/2022,12/24/2022
1E+11,7000000083,PROP,8/10/2022,9/10/2022
1E+11,7000000084,PROP,8/9/2022,9/10/2022
1E+11,7000000085,PROP,8/8/2022,12/24/2022
1E+11,7000000086,PROP,8/7/2022,12/24/2022
1E+11,7000000087,PROP,8/6/2022,9/9/2022
1E+11,7000000088,PROP,8/5/2022,12/28/2023
1E+11,7000000089,PROP,8/4/2022,9/9/2022
1E+11,7000000090,PROP,8/3/2022,9/9/2022
1E+11,7000000091,PROP,8/2/2022,9/9/2022
1E+11,7000000092,PROP,8/1/2022,12/24/2022
1E+11,7000000093,PROP,7/31/2022,9/10/2022
1E+11,7000000094,PROP,7/30/2022,12/24/2022
1E+11,7000000095,PROP,7/29/2022,12/13/2023
1E+11,7000000096,PROP,7/28/2022,9/10/2022
1E+11,7000000097,PROP,7/27/2022,9/9/2022
1E+11,7000000098,PROP,7/26/2022,12/13/2023
1E+11,7000000099,PROP,7/25/2022,12/13/2023
1E+11,7000000000,SELLER,11/1/2022,5/19/2022
1E+11,7000000001,SELLER,10/31/2022,6/3/2022
1E+11,7000000002,SELLER,10/30/2022,5/23/2023
1E+11,7000000003,SELLER,10/29/2022,8/12/2021
1E+11,7000000004,SELLER,10/28/2022,2/1/2023
1E+11,7000000005,SELLER,10/27/2022,2/13/2022
1E+11,7000000006,SELLER,10/26/2022,11/3/2021
1E+11,7000000007,SELLER,10/25/2022,2/21/2022
1E+11,7000000008,SELLER,10/24/2022,11/8/2021
1E+11,7000000009,SELLER,10/23/2022,6/3/2021
1E+11,7000000010,SELLER,10/22/2022,5/23/2023
1E+11,7000000011,PROP,10/21/2022,4/13/2021
1E+11,7000000012,SELLER,10/20/2022,4/13/2021
1E+11,7000000013,SELLER,10/19/2022,4/13/2021
1E+11,7000000014,SELLER,10/18/2022,11/8/2021
1E+11,7000000015,SELLER,10/17/2022,7/23/2021
1E+11,7000000016,SELLER,10/16/2022,12/14/2023
1E+11,7000000017,SELLER,10/15/2022,6/4/2021
1E+11,7000000018,SELLER,10/14/2022,11/2/2021
1E+11,7000000019,SELLER,10/13/2022,2/10/2024
1E+11,7000000020,PROP,10/12/2022,6/2/2023
1E+11,7000000021,SELLER,10/11/2022,4/13/2023
1E+11,7000000022,SELLER,10/10/2022,8/10/2021
1E+11,7000000023,SELLER,10/9/2022,3/8/2022
1E+11,7000000024,SELLER,10/8/2022,4/26/2021
1E+11,7000000025,SELLER,10/7/2022,4/27/2021
1E+11,7000000026,PROP,10/6/2022,9/9/2022
1E+11,7000000027,PROP,10/5/2022,9/5/2022
1E+11,7000000028,PROP,10/4/2022,9/10/2022
1E+11,7000000029,PROP,10/3/2022,12/24/2022
1E+11,7000000030,PROP,10/2/2022,12/16/2023
1E+11,7000000031,PROP,10/1/2022,12/24/2022
1E+11,7000000032,PROP,9/30/2022,9/9/2022
1E+11,7000000033,PROP,9/29/2022,9/10/2022
1E+11,7000000034,PROP,9/28/2022,9/9/2022
1E+11,7000000035,PROP,9/27/2022,9/9/2022
1E+11,7000000036,PROP,9/26/2022,9/9/2022
1E+11,7000000037,PROP,9/25/2022,9/10/2022
1E+11,7000000038,PROP,9/24/2022,12/24/2022
1E+11,7000000039,PROP,9/23/2022,12/13/2023
1E+11,7000000040,PROP,9/22/2022,9/9/2022
1E+11,7000000041,PROP,9/21/2022,12/3/2022
1E+11,7000000042,PROP,9/20/2022,9/9/2022
1E+11,7000000043,SELLER,9/19/2022,3/3/2023
1E+11,7000000044,PROP,9/18/2022,12/3/2022
1E+11,7000000045,PROP,9/17/2022,9/7/2022
1E+11,7000000046,PROP,9/16/2022,12/24/2022
1E+11,7000000047,PROP,9/15/2022,12/3/2022
1E+11,7000000048,PROP,9/14/2022,12/24/2022
1E+11,7000000049,PROP,9/13/2022,3/30/2021
1E+11,7000000050,PROP,9/12/2022,9/9/2022
1E+11,7000000051,PROP,9/11/2022,9/9/2022
1E+11,7000000052,PROP,9/10/2022,9/8/2022
1E+11,7000000053,PROP,9/9/2022,9/10/2022
1E+11,7000000054,PROP,9/8/2022,9/10/2022
1E+11,7000000055,PROP,9/7/2022,12/3/2022
1E+11,7000000056,PROP,9/6/2022,12/3/2022
1E+11,7000000057,PROP,9/5/2022,9/9/2022
1E+11,7000000058,PROP,9/4/2022,9/9/2022
1E+11,7000000059,PROP,9/3/2022,9/9/2022
1E+11,7000000060,PROP,9/2/2022,9/10/2022
1E+11,7000000061,PROP,9/1/2022,12/3/2022
1E+11,7000000062,PROP,8/31/2022,12/3/2022
1E+11,7000000063,PROP,8/30/2022,9/9/2022
1E+11,7000000064,PROP,8/29/2022,9/10/2022
1E+11,7000000065,PROP,8/28/2022,9/10/2022
1E+11,7000000066,PROP,8/27/2022,9/9/2022
1E+11,7000000067,PROP,8/26/2022,12/3/2022
1E+11,7000000068,PROP,8/25/2022,12/24/2022
1E+11,7000000069,PROP,8/24/2022,9/10/2022
1E+11,7000000070,PROP,8/23/2022,12/24/2022
1E+11,7000000071,PROP,8/22/2022,9/9/2022
1E+11,7000000072,PROP,8/21/2022,9/9/2022
1E+11,7000000073,PROP,8/20/2022,9/7/2022
1E+11,7000000074,SELLER,8/19/2022,3/20/2023
1E+11,7000000075,SELLER,8/18/2022,7/7/2023
1E+11,7000000076,SELLER,8/17/2022,12/2/2022
1E+11,7000000077,PROP,8/16/2022,12/24/2022
1E+11,7000000078,PROP,8/15/2022,12/24/2022
1E+11,7000000079,PROP,8/14/2022,12/24/2022
1E+11,7000000080,PROP,8/13/2022,12/24/2022
1E+11,7000000081,PROP,8/12/2022,9/10/2022
1E+11,7000000082,PROP,8/11/2022,12/24/2022
1E+11,7000000083,PROP,8/10/2022,9/10/2022
1E+11,7000000084,PROP,8/9/2022,9/10/2022
1E+11,7000000085,PROP,8/8/2022,12/24/2022
1E+11,7000000086,PROP,8/7/2022,12/24/2022
1E+11,7000000087,PROP,8/6/2022,9/9/2022
1E+11,7000000088,PROP,8/5/2022,12/28/2023
1E+11,7000000089,PROP,8/4/2022,9/9/2022
1E+11,7000000090,PROP,8/3/2022,9/9/2022
1E+11,7000000091,PROP,8/2/2022,9/9/2022
1E+11,7000000092,PROP,8/1/2022,12/24/2022
1E+11,7000000093,PROP,7/31/2022,9/10/2022
1E+11,7000000094,PROP,7/30/2022,12/24/2022
1E+11,7000000095,PROP,7/29/2022,12/13/2023
1E+11,7000000096,PROP,7/28/2022,9/10/2022
1E+11,7000000097,PROP,7/27/2022,9/9/2022
1E+11,7000000098,PROP,7/26/2022,12/13/2023
1E+11,7000000099,PROP,7/25/2022,12/13/2023
1E+11,7000000000,SELLER,11/1/2022,5/19/2022
1E+11,7000000001,SELLER,10/31/2022,6/3/2022
1E+11,7000000002,SELLER,10/30/2022,5/23/2023
1E+11,7000000003,SELLER,10/29/2022,8/12/2021
1E+11,7000000004,SELLER,10/28/2022,2/1/2023
1E+11,7000000005,SELLER,10/27/2022,2/13/2022
1E+11,7000000006,SELLER,10/26/2022,11/3/2021
1E+11,7000000007,SELLER,10/25/2022,2/21/2022
1E+11,7000000008,SELLER,10/24/2022,11/8/2021
1E+11,7000000009,SELLER,10/23/2022,6/3/2021
1E+11,7000000010,SELLER,10/22/2022,5/23/2023
1E+11,7000000011,PROP,10/21/2022,4/13/2021
1E+11,7000000012,SELLER,10/20/2022,4/13/2021
1E+11,7000000013,SELLER,10/19/2022,4/13/2021
1E+11,7000000014,SELLER,10/18/2022,11/8/2021
1E+11,7000000015,SELLER,10/17/2022,7/23/2021
1E+11,7000000016,SELLER,10/16/2022,12/14/2023
1E+11,7000000017,SELLER,10/15/2022,6/4/2021
1E+11,7000000018,SELLER,10/14/2022,11/2/2021
1E+11,7000000019,SELLER,10/13/2022,2/10/2024
1E+11,7000000020,PROP,10/12/2022,6/2/2023
1E+11,7000000021,SELLER,10/11/2022,4/13/2023
1E+11,7000000022,SELLER,10/10/2022,8/10/2021
1E+11,7000000023,SELLER,10/9/2022,3/8/2022
1E+11,7000000024,SELLER,10/8/2022,4/26/2021
1E+11,7000000025,SELLER,10/7/2022,4/27/2021
1E+11,7000000026,PROP,10/6/2022,9/9/2022
1E+11,7000000027,PROP,10/5/2022,9/5/2022
1E+11,7000000028,PROP,10/4/2022,9/10/2022
1E+11,7000000029,PROP,10/3/2022,12/24/2022
1E+11,7000000030,PROP,10/2/2022,12/16/2023
1E+11,7000000031,PROP,10/1/2022,12/24/2022
1E+11,7000000032,PROP,9/30/2022,9/9/2022
1E+11,7000000033,PROP,9/29/2022,9/10/2022
1E+11,7000000034,PROP,9/28/2022,9/9/2022
1E+11,7000000035,PROP,9/27/2022,9/9/2022
1E+11,7000000036,PROP,9/26/2022,9/9/2022
1E+11,7000000037,PROP,9/25/2022,9/10/2022
1E+11,7000000038,PROP,9/24/2022,12/24/2022
1E+11,7000000039,PROP,9/23/2022,12/13/2023
1E+11,7000000040,PROP,9/22/2022,9/9/2022
1E+11,7000000041,PROP,9/21/2022,12/3/2022
1E+11,7000000042,PROP,9/20/2022,9/9/2022
1E+11,7000000043,SELLER,9/19/2022,3/3/2023
1E+11,7000000044,PROP,9/18/2022,12/3/2022
1E+11,7000000045,PROP,9/17/2022,9/7/2022
1E+11,7000000046,PROP,9/16/2022,12/24/2022
1E+11,7000000047,PROP,9/15/2022,12/3/2022
1E+11,7000000048,PROP,9/14/2022,12/24/2022
1E+11,7000000049,PROP,9/13/2022,3/30/2021
1E+11,7000000050,PROP,9/12/2022,9/9/2022
1E+11,7000000051,PROP,9/11/2022,9/9/2022
1E+11,7000000052,PROP,9/10/2022,9/8/2022
1E+11,7000000053,PROP,9/9/2022,9/10/2022
1E+11,7000000054,PROP,9/8/2022,9/10/2022
1E+11,7000000055,PROP,9/7/2022,12/3/2022
1E+11,7000000056,PROP,9/6/2022,12/3/2022
1E+11,7000000057,PROP,9/5/2022,9/9/2022
1E+11,7000000058,PROP,9/4/2022,9/9/2022
1E+11,7000000059,PROP,9/3/2022,9/9/2022
1E+11,7000000060,PROP,9/2/2022,9/10/2022
1E+11,7000000061,PROP,9/1/2022,12/3/2022
1E+11,7000000062,PROP,8/31/2022,12/3/2022
1E+11,7000000063,PROP,8/30/2022,9/9/2022
1E+11,7000000064,PROP,8/29/2022,9/10/2022
1E+11,7000000065,PROP,8/28/2022,9/10/2022
1E+11,7000000066,PROP,8/27/2022,9/9/2022
1E+11,7000000067,PROP,8/26/2022,12/3/2022
1E+11,7000000068,PROP,8/25/2022,12/24/2022
1E+11,7000000069,PROP,8/24/2022,9/10/2022
1E+11,7000000070,PROP,8/23/2022,12/24/2022
1E+11,7000000071,PROP,8/22/2022,9/9/2022
1E+11,7000000072,PROP,8/21/2022,9/9/2022
1E+11,7000000073,PROP,8/20/2022,9/7/2022
1E+11,7000000074,SELLER,8/19/2022,3/20/2023
1E+11,7000000075,SELLER,8/18/2022,7/7/2023
1E+11,7000000076,SELLER,8/17/2022,12/2/2022
1E+11,7000000077,PROP,8/16/2022,12/24/2022
1E+11,7000000078,PROP,8/15/2022,12/24/2022
1E+11,7000000079,PROP,8/14/2022,12/24/2022
1E+11,7000000080,PROP,8/13/2022,12/24/2022
1E+11,7000000081,PROP,8/12/2022,9/10/2022
1E+11,7000000082,PROP,8/11/2022,12/24/2022
1E+11,7000000083,PROP,8/10/2022,9/10/2022
1E+11,7000000084,PROP,8/9/2022,9/10/2022
1E+11,7000000085,PROP,8/8/2022,12/24/2022
1E+11,7000000086,PROP,8/7/2022,12/24/2022
1E+11,7000000087,PROP,8/6/2022,9/9/2022
1E+11,7000000088,PROP,8/5/2022,12/28/2023
1E+11,7000000089,PROP,8/4/2022,9/9/2022
1E+11,7000000090,PROP,8/3/2022,9/9/2022
1E+11,7000000091,PROP,8/2/2022,9/9/2022
1E+11,7000000092,PROP,8/1/2022,12/24/2022
1E+11,7000000093,PROP,7/31/2022,9/10/2022
1E+11,7000000094,PROP,7/30/2022,12/24/2022
1E+11,7000000095,PROP,7/29/2022,12/13/2023
1E+11,7000000096,PROP,7/28/2022,9/10/2022
1E+11,7000000097,PROP,7/27/2022,9/9/2022
1E+11,7000000098,PROP,7/26/2022,12/13/2023
1E+11,7000000099,PROP,7/25/2022,12/13/2023
1E+11,7000000000,SELLER,11/1/2022,5/19/2022
1E+11,7000000001,SELLER,10/31/2022,6/3/2022
1E+11,7000000002,SELLER,10/30/2022,5/23/2023
1E+11,7000000003,SELLER,10/29/2022,8/12/2021
1E+11,7000000004,SELLER,10/28/2022,2/1/2023
1E+11,7000000005,SELLER,10/27/2022,2/13/2022
1E+11,7000000006,SELLER,10/26/2022,11/3/2021
1E+11,7000000007,SELLER,10/25/2022,2/21/2022
1E+11,7000000008,SELLER,10/24/2022,11/8/2021
1E+11,7000000009,SELLER,10/23/2022,6/3/2021
1E+11,7000000010,SELLER,10/22/2022,5/23/2023
1E+11,7000000011,PROP,10/21/2022,4/13/2021
1E+11,7000000012,SELLER,10/20/2022,4/13/2021
1E+11,7000000013,SELLER,10/19/2022,4/13/2021
1E+11,7000000014,SELLER,10/18/2022,11/8/2021
1E+11,7000000015,SELLER,10/17/2022,7/23/2021
1E+11,7000000016,SELLER,10/16/2022,12/14/2023
1E+11,7000000017,SELLER,10/15/2022,6/4/2021
1E+11,7000000018,SELLER,10/14/2022,11/2/2021
1E+11,7000000019,SELLER,10/13/2022,2/10/2024
1E+11,7000000020,PROP,10/12/2022,6/2/2023
1E+11,7000000021,SELLER,10/11/2022,4/13/2023
1E+11,7000000022,SELLER,10/10/2022,8/10/2021
1E+11,7000000023,SELLER,10/9/2022,3/8/2022
1E+11,7000000024,SELLER,10/8/2022,4/26/2021
1E+11,7000000025,SELLER,10/7/2022,4/27/2021
1E+11,7000000026,PROP,10/6/2022,9/9/2022
1E+11,7000000027,PROP,10/5/2022,9/5/2022
1E+11,7000000028,PROP,10/4/2022,9/10/2022
1E+11,7000000029,PROP,10/3/2022,12/24/2022
1E+11,7000000030,PROP,10/2/2022,12/16/2023
1E+11,7000000031,PROP,10/1/2022,12/24/2022
1E+11,7000000032,PROP,9/30/2022,9/9/2022
1E+11,7000000033,PROP,9/29/2022,9/10/2022
1E+11,7000000034,PROP,9/28/2022,9/9/2022
1E+11,7000000035,PROP,9/27/2022,9/9/2022
1E+11,7000000036,PROP,9/26/2022,9/9/2022
1E+11,7000000037,PROP,9/25/2022,9/10/2022
1E+11,7000000038,PROP,9/24/2022,12/24/2022
1E+11,7000000039,PROP,9/23/2022,12/13/2023
1E+11,7000000040,PROP,9/22/2022,9/9/2022
1E+11,7000000041,PROP,9/21/2022,12/3/2022
1E+11,7000000042,PROP,9/20/2022,9/9/2022
1E+11,7000000043,SELLER,9/19/2022,3/3/2023
1E+11,7000000044,PROP,9/18/2022,12/3/2022
1E+11,7000000045,PROP,9/17/2022,9/7/2022
1E+11,7000000046,PROP,9/16/2022,12/24/2022
1E+11,7000000047,PROP,9/15/2022,12/3/2022
1E+11,7000000048,PROP,9/14/2022,12/24/2022
1E+11,7000000049,PROP,9/13/2022,3/30/2021
1E+11,7000000050,PROP,9/12/2022,9/9/2022
1E+11,7000000051,PROP,9/11/2022,9/9/2022
1E+11,7000000052,PROP,9/10/2022,9/8/2022
1E+11,7000000053,PROP,9/9/2022,9/10/2022
1E+11,7000000054,PROP,9/8/2022,9/10/2022
1E+11,7000000055,PROP,9/7/2022,12/3/2022
1E+11,7000000056,PROP,9/6/2022,12/3/2022
1E+11,7000000057,PROP,9/5/2022,9/9/2022
1E+11,7000000058,PROP,9/4/2022,9/9/2022
1E+11,7000000059,PROP,9/3/2022,9/9/2022
1E+11,7000000060,PROP,9/2/2022,9/10/2022
1E+11,7000000061,PROP,9/1/2022,12/3/2022
1E+11,7000000062,PROP,8/31/2022,12/3/2022
1E+11,7000000063,PROP,8/30/2022,9/9/2022
1E+11,7000000064,PROP,8/29/2022,9/10/2022
1E+11,7000000065,PROP,8/28/2022,9/10/2022
1E+11,7000000066,PROP,8/27/2022,9/9/2022
1E+11,7000000067,PROP,8/26/2022,12/3/2022
1E+11,7000000068,PROP,8/25/2022,12/24/2022
1E+11,7000000069,PROP,8/24/2022,9/10/2022
1E+11,7000000070,PROP,8/23/2022,12/24/2022
1E+11,7000000071,PROP,8/22/2022,9/9/2022
1E+11,7000000072,PROP,8/21/2022,9/9/2022
1E+11,7000000073,PROP,8/20/2022,9/7/2022
1E+11,7000000074,SELLER,8/19/2022,3/20/2023
1E+11,7000000075,SELLER,8/18/2022,7/7/2023
1E+11,7000000076,SELLER,8/17/2022,12/2/2022
1E+11,7000000077,PROP,8/16/2022,12/24/2022
1E+11,7000000078,PROP,8/15/2022,12/24/2022
1E+11,7000000079,PROP,8/14/2022,12/24/2022
1E+11,7000000080,PROP,8/13/2022,12/24/2022
1E+11,7000000081,PROP,8/12/2022,9/10/2022
1E+11,7000000082,PROP,8/11/2022,12/24/2022
1E+11,7000000083,PROP,8/10/2022,9/10/2022
1E+11,7000000084,PROP,8/9/2022,9/10/2022
1E+11,7000000085,PROP,8/8/2022,12/24/2022
1E+11,7000000086,PROP,8/7/2022,12/24/2022
1E+11,7000000087,PROP,8/6/2022,9/9/2022
1E+11,7000000088,PROP,8/5/2022,12/28/2023
1E+11,7000000089,PROP,8/4/2022,9/9/2022
1E+11,7000000090,PROP,8/3/2022,9/9/2022
1E+11,7000000091,PROP,8/2/2022,9/9/2022
1E+11,7000000092,PROP,8/1/2022,12/24/2022
1E+11,7000000093,PROP,7/31/2022,9/10/2022
1E+11,7000000094,PROP,7/30/2022,12/24/2022
1E+11,7000000095,PROP,7/29/2022,12/13/2023
1E+11,7000000096,PROP,7/28/2022,9/10/2022
1E+11,7000000097,PROP,7/27/2022,9/9/2022
1E+11,7000000098,PROP,7/26/2022,12/13/2023
1E+11,7000000099,PROP,7/25/2022,12/13/2023
1E+11,7000000000,SELLER,11/1/2022,5/19/2022
1E+11,7000000001,SELLER,10/31/2022,6/3/2022
1E+11,7000000002,SELLER,10/30/2022,5/23/2023
1E+11,7000000003,SELLER,10/29/2022,8/12/2021
1E+11,7000000004,SELLER,10/28/2022,2/1/2023
1E+11,7000000005,SELLER,10/27/2022,2/13/2022
1E+11,7000000006,SELLER,10/26/2022,11/3/2021
1E+11,7000000007,SELLER,10/25/2022,2/21/2022
1E+11,7000000008,SELLER,10/24/2022,11/8/2021
1E+11,7000000009,SELLER,10/23/2022,6/3/2021
1E+11,7000000010,SELLER,10/22/2022,5/23/2023
1E+11,7000000011,PROP,10/21/2022,4/13/2021
1E+11,7000000012,SELLER,10/20/2022,4/13/2021
1E+11,7000000013,SELLER,10/19/2022,4/13/2021
1E+11,7000000014,SELLER,10/18/2022,11/8/2021
1E+11,7000000015,SELLER,10/17/2022,7/23/2021
1E+11,7000000016,SELLER,10/16/2022,12/14/2023
1E+11,7000000017,SELLER,10/15/2022,6/4/2021
1E+11,7000000018,SELLER,10/14/2022,11/2/2021
1E+11,7000000019,SELLER,10/13/2022,2/10/2024
1E+11,7000000020,PROP,10/12/2022,6/2/2023
1E+11,7000000021,SELLER,10/11/2022,4/13/2023
1E+11,7000000022,SELLER,10/10/2022,8/10/2021
1E+11,7000000023,SELLER,10/9/2022,3/8/2022
1E+11,7000000024,SELLER,10/8/2022,4/26/2021
1E+11,7000000025,SELLER,10/7/2022,4/27/2021
1E+11,7000000026,PROP,10/6/2022,9/9/2022
1E+11,7000000027,PROP,10/5/2022,9/5/2022
1E+11,7000000028,PROP,10/4/2022,9/10/2022
1E+11,7000000029,PROP,10/3/2022,12/24/2022
1E+11,7000000030,PROP,10/2/2022,12/16/2023
1E+11,7000000031,PROP,10/1/2022,12/24/2022
1E+11,7000000032,PROP,9/30/2022,9/9/2022
1E+11,7000000033,PROP,9/29/2022,9/10/2022
1E+11,7000000034,PROP,9/28/2022,9/9/2022
1E+11,7000000035,PROP,9/27/2022,9/9/2022
1E+11,7000000036,PROP,9/26/2022,9/9/2022
1E+11,7000000037,PROP,9/25/2022,9/10/2022
1E+11,7000000038,PROP,9/24/2022,12/24/2022
1E+11,7000000039,PROP,9/23/2022,12/13/2023
1E+11,7000000040,PROP,9/22/2022,9/9/2022
1E+11,7000000041,PROP,9/21/2022,12/3/2022
1E+11,7000000042,PROP,9/20/2022,9/9/2022
1E+11,7000000043,SELLER,9/19/2022,3/3/2023
1E+11,7000000044,PROP,9/18/2022,12/3/2022
1E+11,7000000045,PROP,9/17/2022,9/7/2022
1E+11,7000000046,PROP,9/16/2022,12/24/2022
1E+11,7000000047,PROP,9/15/2022,12/3/2022
1E+11,7000000048,PROP,9/14/2022,12/24/2022
1E+11,7000000049,PROP,9/13/2022,3/30/2021
1E+11,7000000050,PROP,9/12/2022,9/9/2022
1E+11,7000000051,PROP,9/11/2022,9/9/2022
1E+11,7000000052,PROP,9/10/2022,9/8/2022
1E+11,7000000053,PROP,9/9/2022,9/10/2022
1E+11,7000000054,PROP,9/8/2022,9/10/2022
1E+11,7000000055,PROP,9/7/2022,12/3/2022
1E+11,7000000056,PROP,9/6/2022,12/3/2022
1E+11,7000000057,PROP,9/5/2022,9/9/2022
1E+11,7000000058,PROP,9/4/2022,9/9/2022
1E+11,7000000059,PROP,9/3/2022,9/9/2022
1E+11,7000000060,PROP,9/2/2022,9/10/2022
1E+11,7000000061,PROP,9/1/2022,12/3/2022
1E+11,7000000062,PROP,8/31/2022,12/3/2022
1E+11,7000000063,PROP,8/30/2022,9/9/2022
1E+11,7000000064,PROP,8/29/2022,9/10/2022
1E+11,7000000065,PROP,8/28/2022,9/10/2022
1E+11,7000000066,PROP,8/27/2022,9/9/2022
1E+11,7000000067,PROP,8/26/2022,12/3/2022
1E+11,7000000068,PROP,8/25/2022,12/24/2022
1E+11,7000000069,PROP,8/24/2022,9/10/2022
1E+11,7000000070,PROP,8/23/2022,12/24/2022
1E+11,7000000071,PROP,8/22/2022,9/9/2022
1E+11,7000000072,PROP,8/21/2022,9/9/2022
1E+11,7000000073,PROP,8/20/2022,9/7/2022
1E+11,7000000074,SELLER,8/19/2022,3/20/2023
1E+11,7000000075,SELLER,8/18/2022,7/7/2023
1E+11,7000000076,SELLER,8/17/2022,12/2/2022
1E+11,7000000077,PROP,8/16/2022,12/24/2022
1E+11,7000000078,PROP,8/15/2022,12/24/2022
1E+11,7000000079,PROP,8/14/2022,12/24/2022
1E+11,7000000080,PROP,8/13/2022,12/24/2022
1E+11,7000000081,PROP,8/12/2022,9/10/2022
1E+11,7000000082,PROP,8/11/2022,12/24/2022
1E+11,7000000083,PROP,8/10/2022,9/10/2022
1E+11,7000000084,PROP,8/9/2022,9/10/2022
